Ticker,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Percent From Target,Total Return,Exchange,Last Price,Market Cap. (USD),IV,ETF,Sharpe Ratio,S&P 500,DJIA,Nasdaq 100,200 Day MA,Price Above 200 MAV
DMRC,Information Technology Services,Technology,0,-43.23,0,34,6.07,6.07,NMS,32.055,685244992,77.34,#N/A,0.08,#N/A,#N/A,#N/A,29.6497,YES
DNN,Uranium,Energy,45.56,-56.75,0,3.57,56.71,56.71,ASE,2.2781,2030141824,71.06,#N/A,0.78,#N/A,#N/A,#N/A,1.9312,YES
DOC,REIT - Healthcare Facilities,Real Estate,46.24,82.2,5.3,24.03,8.27,13.57,NYQ,22.195,15517256704,23.48,XLRE,0.66,S&P 500,#N/A,#N/A,19.8068,YES
DORM,Auto Parts,Consumer Cyclical,21.46,17.57,0,117.5,0.28,0.28,NMS,117.175,3582309376,34.51,#N/A,0.01,#N/A,#N/A,#N/A,95.8546,YES
DOV,Specialty Industrial Machinery,Industrials,17.9,20.25,1.06,206.7,7.39,8.45,NYQ,192.48,26444171264,22.29,#N/A,0.3,S&P 500,#N/A,#N/A,175.6499,YES
DOW,Chemicals,Basic Materials,32.14,14.79,5.36,57.47,10.37,15.73,NYQ,52.07,36496957440,20.94,XLB,0.7,S&P 500,DJIA,#N/A,54.9478,NO
DOX,Software - Infrastructure,Technology,20.77,12.85,2.11,99.09,9.7,11.81,NMS,90.33,10387950592,28.2,#N/A,0.55,#N/A,#N/A,#N/A,85.94505,YES
DPZ,Restaurants,Consumer Cyclical,26.49,24.4,1.41,476.62,10.75,12.16,NYQ,430.359,14861157376,25.72,XLY,0.49,S&P 500,#N/A,#N/A,457.5065,NO
DQ,Semiconductor Equipment & Materials,Technology,0,-27.97,0,23.29,19.13,19.13,NYQ,19.55,1287580800,82.22,#N/A,0.23,#N/A,#N/A,#N/A,19.81735,NO
DRH,REIT - Hotel & Motel,Real Estate,30.86,18.65,1.33,9.77,9.1,10.43,NYQ,8.955,1866150400,41.89,#N/A,0.18,#N/A,#N/A,#N/A,8.8194,YES
DRI,Restaurants,Consumer Cyclical,18.94,15.55,3.4,183.23,11.56,14.96,NYQ,164.245,19297611776,27.1,XLY,0.6,S&P 500,#N/A,#N/A,156.6464,YES
DSGR,Industrial Distribution,Industrials,0,23.27,0,42.5,6.82,6.82,NMS,39.785,1860243200,50.04,#N/A,0.15,#N/A,#N/A,#N/A,33.63475,YES
DSGX,Software - Application,Technology,71.78,54.2,0,106.79,0.53,0.53,NMS,106.23,9094658048,27.9,#N/A,0.02,#N/A,#N/A,#N/A,94.7052,YES
DSX,Marine Shipping,Industrials,26,2.54,15.69,3.63,55.13,70.82,NYQ,2.34,292862688,46.69,#N/A,1.43,#N/A,#N/A,#N/A,2.80615,NO
DTE,Utilities - Regulated Electric,Utilities,19.14,17.81,3.17,132.02,3.12,6.29,NYQ,128.03,26504769536,20.22,XLU,0.32,S&P 500,#N/A,#N/A,114.4627,YES
DUK,Utilities - Regulated Electric,Utilities,20.56,18.9,3.46,122.69,2.17,5.63,NYQ,120.085,92729876480,15.51,XLU,0.36,S&P 500,#N/A,#N/A,103.15385,YES
DVA,Medical Care Facilities,Healthcare,17.22,14.29,0,157.29,-2.75,-2.75,NYQ,161.745,13569146880,30.91,#N/A,-0.07,S&P 500,#N/A,#N/A,137.4479,YES
DVAX,Drug Manufacturers - Specialty & Generic,Healthcare,83.81,29.45,0,24.5,124.82,124.82,NMS,10.8975,1427724416,42.47,#N/A,2.9,#N/A,#N/A,#N/A,11.78665,NO
DVN,Oil & Gas E&P,Energy,7.26,7.7,4.92,52.55,30.97,35.89,NYQ,40.125,26414684160,30.02,XLE,1.07,S&P 500,#N/A,#N/A,45.7441,NO
DX,REIT - Mortgage,Real Estate,419.13,15.15,12.35,13.83,10.11,22.46,NYQ,12.56,939360960,19.86,#N/A,1.13,#N/A,#N/A,#N/A,12.2589,YES
DXCM,Medical Devices,Healthcare,44.98,36.04,0,96.82,33.7,33.7,NMS,72.415,29034192896,44.68,XLV,0.52,S&P 500,#N/A,Nasdaq 100,108.03065,NO
DXLG,Apparel Retail,Consumer Cyclical,11.34,12.89,0,3.25,14.64,14.64,NGM,2.835,165160576,68.61,#N/A,0.22,#N/A,#N/A,#N/A,3.43075,NO
DY,Engineering & Construction,Industrials,25.28,21.81,0,215,5.54,5.54,NYQ,203.71,5928796160,53.89,#N/A,0.12,#N/A,#N/A,#N/A,156.7503,YES
EA,Electronic Gaming & Multimedia,Communication Services,34.38,17.49,0.53,159.4,9.37,9.9,NMS,145.75,38499225600,20.97,XLC,0.3,S&P 500,#N/A,Nasdaq 100,138.44646,YES
EAT,Restaurants,Consumer Cyclical,27.62,17.92,0,75.06,-20.06,-20.06,NYQ,93.9,4202169088,43.95,#N/A,-0.39,#N/A,#N/A,#N/A,59.8306,YES
EBAY,Internet Retail,Consumer Cyclical,12.5,12.4,1.66,59.04,-8.09,-6.43,NMS,64.235,31408472064,22.27,XLY,-0.2,S&P 500,#N/A,#N/A,52.89535,YES
EBF,Business Equipment & Supplies,Industrials,13.23,0,4.8,26,25.18,29.98,NYQ,20.77,539840960,31.98,#N/A,1.14,#N/A,#N/A,#N/A,21.4661,NO
EBS,Drug Manufacturers - Specialty & Generic,Healthcare,0,3.41,0,8,-21.53,-21.53,NYQ,10.195,539118208,115.51,#N/A,-0.14,#N/A,#N/A,#N/A,5.559,YES
EBTC,Banks - Regional,Financial Services,11.02,0,2.92,0,-100,-97.08,NMS,31.835,395527584,47.34,#N/A,-2.05,#N/A,#N/A,#N/A,27.2492,YES
ECL,Specialty Chemicals,Basic Materials,43.51,34.56,0.87,266.81,2.94,3.81,NYQ,259.18,73780699136,25.98,XLB,0.16,S&P 500,#N/A,#N/A,231.62296,YES
ECPG,Mortgage Finance,Financial Services,0,5.63,0,61,35.31,35.31,NMS,45.08,1067279552,52.13,#N/A,0.68,#N/A,#N/A,#N/A,46.4804,NO
ED,Utilities - Regulated Electric,Utilities,20.68,18.95,3.11,101.43,-4.76,-1.65,NYQ,106.5,36857733120,15.65,XLU,-0.09,S&P 500,#N/A,#N/A,94.54575,YES
EDAP,Medical Distribution,Healthcare,0,-5.47,0,11.67,318.28,318.28,NGM,2.79,103519600,95.19,#N/A,3.31,#N/A,#N/A,#N/A,5.47515,NO
EDU,Education & Training Services,Consumer Defensive,37.57,15.2,0,94.59,39.86,39.86,NYQ,67.63,11355776000,52.86,#N/A,0.61,#N/A,#N/A,#N/A,77.9914,NO
EEFT,Software - Infrastructure,Technology,17.07,10.05,0,127,29.84,29.84,NMS,97.81,4393067520,35.47,#N/A,0.77,#N/A,#N/A,#N/A,104.66285,NO
EFC,REIT - Mortgage,Real Estate,10.47,7.87,12.18,13.75,8.52,20.7,NYQ,12.67,1101403136,36.06,#N/A,0.57,#N/A,#N/A,#N/A,12.26155,YES
EFSC,Banks - Regional,Financial Services,11.32,11.55,2.03,58.75,13.81,15.84,NMS,51.62,1928157824,33.26,#N/A,0.12,#N/A,#N/A,#N/A,43.5588,YES
EFX,Consulting Services,Industrials,61.03,28.78,0.55,322.17,17.11,17.66,NYQ,275.095,34102855680,28.18,XLI,0.59,S&P 500,#N/A,#N/A,260.7338,YES
EG,Insurance - Reinsurance,Financial Services,5.68,5.71,2.08,443.08,14.75,16.83,NYQ,386.1225,16719149056,23.37,#N/A,0.59,S&P 500,#N/A,#N/A,379.0149,YES
EGAN,Software - Application,Technology,19.72,0,0,9.5,92.7,92.7,NCM,4.93,140562176,53.75,#N/A,1.57,#N/A,#N/A,#N/A,6.3623,NO
EGBN,Banks - Regional,Financial Services,0,10.64,2.7,23,-0.82,1.88,NCM,23.19,699811584,47.87,#N/A,0.04,#N/A,#N/A,#N/A,21.75345,YES
EGHT,Software - Application,Technology,0,4.82,0,3.3,62.96,62.96,NMS,2.025,259868256,76.72,#N/A,0.77,#N/A,#N/A,#N/A,2.4982,NO
EGO,Gold,Basic Materials,21.09,12.63,0,20.42,10.02,10.02,NYQ,18.56,3803352320,41.57,#N/A,0.21,#N/A,#N/A,#N/A,14.96755,YES
EGP,REIT - Industrial,Real Estate,37.29,35.86,3.06,198.59,10.76,13.82,NYQ,179.29,8740736000,18.81,#N/A,0.73,#N/A,#N/A,#N/A,176.832,YES
EGY,Oil & Gas E&P,Energy,7.43,9.15,4.15,9.13,53.68,57.83,NYQ,5.941,616337152,40.61,#N/A,1.19,#N/A,#N/A,#N/A,5.85765,YES
EHC,Medical Care Facilities,Healthcare,23.74,20.58,0.7,105.75,10.26,10.96,NYQ,95.91,9648930816,23.24,#N/A,0.38,#N/A,#N/A,#N/A,83.5328,YES
EHTH,Insurance Brokers,Financial Services,0,-476.5,0,6.67,39.98,39.98,NMS,4.765,140116720,74.38,#N/A,0.57,#N/A,#N/A,#N/A,5.22215,NO
EIX,Utilities - Regulated Electric,Utilities,33.97,15.07,3.65,89.35,5.63,9.28,NYQ,84.585,32664780800,20.08,XLU,0.4,S&P 500,#N/A,#N/A,74.9268,YES
EL,Household & Personal Products,Consumer Defensive,82.39,21.76,2.93,104.89,17.85,20.78,NYQ,89,31934328832,40.23,XLP,0.39,S&P 500,#N/A,#N/A,120.092,NO
ELA,Luxury Goods,Consumer Cyclical,21.04,14.61,0,7.5,42.59,42.59,ASE,5.26,137151344,57.9,#N/A,0.9,#N/A,#N/A,#N/A,4.7304,YES
ELME,REIT - Residential,Real Estate,0,-153.55,4.22,17.5,3.55,7.77,NYQ,16.9,1486498944,25.8,#N/A,0.3,#N/A,#N/A,#N/A,15.5346,YES
ELS,REIT - Residential,Real Estate,35.54,35.54,2.73,73.04,7.03,9.76,NYQ,68.245,13350292480,21.17,#N/A,0.46,#N/A,#N/A,#N/A,66.7558,YES
ELV,Healthcare Plans,Healthcare,15.37,10.93,1.51,566.86,34.23,35.74,NYQ,422.307,97880784896,24.3,XLV,1.4,S&P 500,#N/A,#N/A,518.547,NO
EME,Engineering & Construction,Industrials,25.99,21.74,0.22,415,-8.32,-8.1,NYQ,452.67,21137668096,32.54,#N/A,-0.2,#N/A,#N/A,#N/A,347.7253,YES
EMKR,Electronic Components,Technology,0,-6.16,0,3,28.21,28.21,NCM,2.34,21170558,153.83,#N/A,0.19,#N/A,#N/A,#N/A,2.5019,NO
EMN,Specialty Chemicals,Basic Materials,14.5,12.04,2.98,115.33,7.05,10.03,NYQ,107.735,12591665152,23.11,XLB,0.36,S&P 500,#N/A,#N/A,96.8717,YES
EMR,Specialty Industrial Machinery,Industrials,37.19,18.56,1.9,125.58,14.1,16,NYQ,110.06,62974341120,20.22,XLI,0.53,S&P 500,#N/A,#N/A,107.38455,YES
EMX,Other Industrial Metals & Mining,Basic Materials,0,199,0,6.47,225.13,225.13,ASE,1.99,226529664,62.5,#N/A,3.6,#N/A,#N/A,#N/A,1.76405,YES
ENB,Oil & Gas Midstream,Energy,21.99,18.98,6.46,41.12,-1.06,5.4,NYQ,41.5588,90597171200,11.92,#N/A,0.39,#N/A,#N/A,#N/A,36.91905,YES
ENLC,Oil & Gas Midstream,Energy,48.85,17.87,3.6,15.4,5.08,8.68,NYQ,14.655,6762534912,24.17,#N/A,0.37,#N/A,#N/A,#N/A,13.29005,YES
ENOV,Specialty Industrial Machinery,Industrials,0,13.06,0,68,67.36,67.36,NYQ,40.63,2269764352,36.39,#N/A,1.43,#N/A,#N/A,#N/A,51.11205,NO
ENPH,Solar,Technology,97.31,20.02,0,123.59,36.56,36.56,NGM,90.5,12256367616,59.61,#N/A,0.45,S&P 500,#N/A,#N/A,113.85325,NO
ENS,Electrical Equipment & Parts,Industrials,15.15,10.28,0.94,118.14,17.86,18.8,NYQ,100.24,4034742272,30.57,#N/A,0.56,#N/A,#N/A,#N/A,97.9794,YES
ENSG,Medical Care Facilities,Healthcare,37.89,24.4,0.16,155.6,5.55,5.71,NMS,147.425,8419987456,33.49,#N/A,0.16,#N/A,#N/A,#N/A,128.8388,YES
ENTG,Semiconductor Equipment & Materials,Technology,85.76,24.47,0.39,143.39,38.13,38.52,NMS,103.805,15666699264,37.54,#N/A,0.72,#N/A,#N/A,#N/A,124.9067,NO
ENV,Software - Application,Technology,0,19.74,0,64.63,2.96,2.96,NYQ,62.77,3467709952,41.81,#N/A,0.05,#N/A,#N/A,#N/A,59.5857,YES
EOG,Oil & Gas E&P,Energy,9.72,11.2,2.87,140.93,12.01,14.88,NYQ,125.82,71541252096,24.08,XLE,0.51,S&P 500,#N/A,#N/A,124.0717,YES
EPAC,Specialty Industrial Machinery,Industrials,29.47,21.78,0.09,47,6.3,6.39,NYQ,44.215,2400607488,51.36,#N/A,0.09,#N/A,#N/A,#N/A,37.0284,YES
EPAM,Information Technology Services,Technology,28.7,18.32,0,221.76,10.73,10.73,NYQ,200.265,11389357056,32.43,#N/A,0.23,S&P 500,#N/A,#N/A,231.93076,NO
EPC,Household & Personal Products,Consumer Defensive,14.9,10.97,1.68,42,18.91,20.59,NYQ,35.32,1741607936,30.14,#N/A,0.65,#N/A,#N/A,#N/A,38.01205,NO
EPD,Oil & Gas Midstream,Energy,11.08,10.15,7.2,33.82,16.44,23.64,NYQ,29.045,63025512448,12.91,#N/A,2.39,#N/A,#N/A,#N/A,28.5392,YES
EPM,Oil & Gas E&P,Energy,43.71,0,9.13,7.63,45.47,54.6,ASE,5.245,174778080,42.92,#N/A,1.32,#N/A,#N/A,#N/A,5.5339,NO
EPR,REIT - Specialty,Real Estate,19.55,18,7,48.61,1.52,8.52,NYQ,47.88,3625540608,15.85,#N/A,0.48,#N/A,#N/A,#N/A,43.7643,YES
EQC,REIT - Office,Real Estate,23.08,0,0,20.5,3.27,3.27,NYQ,19.85,2134847744,17.51,#N/A,0.19,#N/A,#N/A,#N/A,19.363,YES
EQIX,REIT - Specialty,Real Estate,80.88,70.35,1.9,930.87,5.43,7.33,NMS,882.9,83853524992,19.96,XLRE,0.24,S&P 500,#N/A,#N/A,811.1366,YES
EQR,REIT - Residential,Real Estate,30.27,43.88,3.57,77.84,4.96,8.53,NYQ,74.16,28989544448,19.67,XLRE,0.37,S&P 500,#N/A,#N/A,66.71525,YES
EQT,Oil & Gas E&P,Energy,23.75,12.15,1.73,41.37,13.87,15.6,NYQ,36.33,21581074432,32.89,XLE,0.46,S&P 500,#N/A,#N/A,36.341,NO
ERIE,Insurance Brokers,Financial Services,47,35.57,1.06,0,-100,-98.94,NMS,476.67,24965289984,30,#N/A,-3.02,#N/A,#N/A,#N/A,410.946,YES
ERII,Pollution & Treatment Controls,Industrials,54.06,33.79,0,20.5,8.35,8.35,NMS,18.92,1092157056,44.1,#N/A,0.18,#N/A,#N/A,#N/A,15.31715,YES
ES,Utilities - Regulated Electric,Utilities,0,13.76,4.32,74.67,12.81,17.13,NYQ,66.19,23671394304,19.33,XLU,0.83,S&P 500,#N/A,#N/A,60.8033,YES
ESCA,Leisure,Consumer Cyclical,16.51,0,4.26,0,-100,-95.74,NGM,13.865,192408768,50.94,#N/A,-1.88,#N/A,#N/A,#N/A,14.3167,NO
ESE,Scientific & Technical Instruments,Technology,32.87,26,0.25,131,3.24,3.49,NYQ,126.89,3267760128,27.61,#N/A,0.13,#N/A,#N/A,#N/A,109.82945,YES
ESLT,Aerospace & Defense,Industrials,39.37,25.15,0.94,215,0.58,1.52,NMS,213.77,9508126720,31.53,#N/A,0.05,#N/A,#N/A,#N/A,198.66365,YES
ESS,REIT - Residential,Real Estate,36.14,48.24,3.31,300.59,3.18,6.49,NYQ,291.315,19365660672,24.48,XLRE,0.25,S&P 500,#N/A,#N/A,264.1927,YES
ESSA,Banks - Regional,Financial Services,10.34,0,2.99,19,1.55,4.54,NMS,18.71,189560352,48.25,#N/A,0.09,#N/A,#N/A,#N/A,17.95635,YES
ET,Oil & Gas Midstream,Energy,13.79,10.45,7.8,19.45,18.53,26.33,NYQ,16.41,56148873216,16.08,#N/A,1.84,#N/A,#N/A,#N/A,15.54435,YES
ETD,"Furnishings, Fixtures & Appliances",Consumer Cyclical,12.03,11.7,5.01,0,-100,-94.99,NYQ,29.955,761755648,31.28,#N/A,-1.3,#N/A,#N/A,#N/A,30.3865,NO
ETN,Specialty Industrial Machinery,Industrials,38.05,29.02,1.08,353.59,2.22,3.3,NYQ,345.9,1.37703E+11,26.36,XLI,0.11,S&P 500,#N/A,#N/A,304.11844,YES
ETR,Utilities - Regulated Electric,Utilities,16.15,17.49,3.34,130.63,-3.39,-0.05,NYQ,135.21,28924921856,18.09,XLU,0,S&P 500,#N/A,#N/A,110.82545,YES
ETSY,Internet Retail,Consumer Cyclical,22.94,17.94,0,64.86,31.48,31.48,NMS,49.33,5660716544,42.05,XLY,0.47,S&P 500,#N/A,#N/A,62.848873,NO
EVC,Advertising Agencies,Communication Services,0,0,8.85,3.5,57.96,66.81,NYQ,2.2158,199393424,47.81,#N/A,0.91,#N/A,#N/A,#N/A,2.40485,NO
EVR,Capital Markets,Financial Services,38.51,19.27,1.12,273.71,-1.83,-0.71,NYQ,278.8,10689115136,33.92,#N/A,-0.02,#N/A,#N/A,#N/A,209.27275,YES
EVRG,Utilities - Regulated Electric,Utilities,19.22,15.23,4.2,63.79,3.71,7.91,NMS,61.51,14144715776,16.71,XLU,0.41,S&P 500,#N/A,#N/A,54.6851,YES
EVRI,Gambling,Consumer Cyclical,27.73,17.75,0,12.35,-7.21,-7.21,NYQ,13.31,1141854336,25.81,#N/A,-0.28,#N/A,#N/A,#N/A,10.3125,YES
EW,Medical Devices,Healthcare,27.55,26.92,0,75.26,7.51,7.51,NYQ,70,42155954176,36.97,XLV,0.15,S&P 500,#N/A,#N/A,80.74225,NO
EWBC,Banks - Regional,Financial Services,11.44,10.56,2.4,97.93,9.74,12.14,NMS,89.24,12369108992,30.05,#N/A,0.39,#N/A,#N/A,#N/A,76.65705,YES
EXAS,Diagnostics & Research,Healthcare,0,-1158,0,79.46,14.4,14.4,NCM,69.46,12837820416,48.9,#N/A,0.24,#N/A,#N/A,#N/A,58.8106,YES
EXC,Utilities - Regulated Electric,Utilities,16.78,15.44,3.71,42.68,5.08,8.79,NMS,40.615,40635305984,18,XLU,0.44,S&P 500,#N/A,Nasdaq 100,37.0122,YES
EXEL,Biotechnology,Healthcare,24.8,18.56,0,29.45,2.33,2.33,NMS,28.78,8209552896,31.8,#N/A,0.07,#N/A,#N/A,#N/A,23.36695,YES
EXK,Other Precious Metals & Mining,Basic Materials,0,16.08,0,5.49,6.6,6.6,NYQ,5.15,1265767808,66.09,#N/A,0.09,#N/A,#N/A,#N/A,3.0264,YES
EXLS,Information Technology Services,Technology,36.87,21.29,0,41.88,5.12,5.12,NMS,39.84,6426339328,24.92,#N/A,0.18,#N/A,#N/A,#N/A,32.56345,YES
EXP,Building Materials,Basic Materials,21.03,17.04,0.33,299.2,0.65,0.98,NYQ,297.255,9997955072,35.2,#N/A,0.03,#N/A,#N/A,#N/A,247.60655,YES
EXPD,Integrated Freight & Logistics,Industrials,25.79,22.73,1.21,116.29,-3.65,-2.44,NYQ,120.69,17034148864,22.71,#N/A,-0.09,S&P 500,#N/A,#N/A,121.68815,NO
EXPE,Travel Services,Consumer Cyclical,29.29,11.32,0,152.57,-6.16,-6.16,NMS,162.58,21177518080,32.46,XLY,-0.15,S&P 500,#N/A,#N/A,133.71515,YES
EXPO,Engineering & Construction,Industrials,54.32,52.5,0.99,115,4.3,5.29,NMS,110.26,5593567232,30.98,#N/A,0.17,#N/A,#N/A,#N/A,94.1435,YES
EXR,REIT - Industrial,Real Estate,45,34.17,3.78,175.63,6.37,10.15,NYQ,165.11,36402880512,24.97,XLRE,0.34,S&P 500,#N/A,#N/A,154.83005,YES
EXTR,Communication Equipment,Technology,0,14.67,0,15.75,6.28,6.28,NMS,14.82,1956261376,45.11,#N/A,0.11,#N/A,#N/A,#N/A,13.1903,YES
EYPT,Biotechnology,Healthcare,0,-3.34,0,35.64,235.59,235.59,NGM,10.62,566757760,68.02,#N/A,3.1,#N/A,#N/A,#N/A,15.19065,NO
EZPW,Credit Services,Financial Services,9.6,9.29,0,17,47.51,47.51,NMS,11.525,630902656,36.76,#N/A,1.33,#N/A,#N/A,#N/A,10.53195,YES
F,Auto Manufacturers,Consumer Cyclical,11.35,5.9,5.41,12.28,12.61,18.02,NYQ,10.905,43310350336,30.53,XLY,0.56,S&P 500,#N/A,#N/A,11.8869,NO
FAF,Insurance - Specialty,Financial Services,34.46,11.86,3.23,73.4,13.9,17.13,NYQ,64.44,6630103040,24.63,#N/A,0.7,#N/A,#N/A,#N/A,59.00985,YES
FANG,Oil & Gas E&P,Energy,9.48,10.6,5.85,219.64,19.94,25.79,NMS,183.12,53606916096,27.75,XLE,0.75,S&P 500,#N/A,Nasdaq 100,187.5367,NO
FARM,Packaged Foods,Consumer Defensive,0,-5.2,0,5.25,165.82,165.82,NMS,1.975,41977244,70.67,#N/A,1.9,#N/A,#N/A,#N/A,2.9572,NO
FARO,Scientific & Technical Instruments,Technology,0,20.48,0,24.5,32.94,32.94,NMS,18.43,359517312,77.41,#N/A,0.65,#N/A,#N/A,#N/A,18.9009,NO
FAST,Industrial Distribution,Industrials,38.56,35.39,2,71.03,-8.37,-6.37,NMS,77.52,44421582848,24.22,XLI,-0.35,S&P 500,#N/A,Nasdaq 100,68.99115,YES
FBIN,Building Products & Equipment,Industrials,24.98,18.51,1.07,88.35,0.47,1.54,NYQ,87.94,10914058240,38.4,#N/A,0.05,#N/A,#N/A,#N/A,76.9381,YES
FBIO,Biotechnology,Healthcare,0,-1.02,0,14,679.94,679.94,NCM,1.795,49338664,145,#N/A,5.07,#N/A,#N/A,#N/A,1.8761,NO
FBMS,Banks - Regional,Financial Services,13.42,11.62,2.97,34.75,8.32,11.29,NYQ,32.08,1001069312,112.79,#N/A,0.1,#N/A,#N/A,#N/A,27.4613,YES
FBNC,Banks - Regional,Financial Services,15.2,14.47,2.02,47.63,13.63,15.65,NMS,41.915,1730200960,42.07,#N/A,0.47,#N/A,#N/A,#N/A,35.9743,YES
FBP,Banks - Regional,Financial Services,11.01,10.77,3.07,23.5,16.68,19.75,NYQ,20.14,3301899776,35.66,#N/A,0.4,#N/A,#N/A,#N/A,18.36445,YES
FC,Education & Training Services,Consumer Defensive,30.51,19.23,0,63.33,56.06,56.06,NYQ,40.58,531370784,59.12,#N/A,0.95,#N/A,#N/A,#N/A,39.26875,YES
FCBC,Banks - Regional,Financial Services,15.1,16.13,2.82,44,3.7,6.52,NMS,42.43,775217344,29.54,#N/A,0.22,#N/A,#N/A,#N/A,37.0159,YES
FCEL,Electrical Equipment & Parts,Industrials,0,-1.75,0,1.13,239.44,239.44,NGM,0.3329,185151328,208.84,#N/A,1.15,#N/A,#N/A,#N/A,0.8234,NO
FCF,Banks - Regional,Financial Services,10.83,11.33,3.01,18.83,12.22,15.23,NYQ,16.78,1718674816,39.39,#N/A,0.39,#N/A,#N/A,#N/A,14.6946,YES
FCFS,Credit Services,Financial Services,21.27,14.08,1.35,135,21.35,22.7,NMS,111.25,4977798656,32.2,#N/A,0.62,#N/A,#N/A,#N/A,115.7005,NO
FCN,Consulting Services,Industrials,24.72,24.17,0,257,12.88,12.88,NYQ,227.68,8174212608,30.37,#N/A,0.34,#N/A,#N/A,#N/A,213.61165,YES
FCNCA,Banks - Regional,Financial Services,11.37,11.14,0.31,2190.91,6.03,6.34,NMS,2066.3926,29656659968,30.37,#N/A,0.18,#N/A,#N/A,#N/A,1720.2448,YES
FCX,Copper,Basic Materials,36.04,21.88,1.25,54.8,14.37,15.62,NYQ,47.915,68847149056,36.57,XLB,0.39,S&P 500,#N/A,#N/A,45.64195,YES
FDP,Farm Products,Consumer Defensive,0,11.92,3.39,32.5,12.2,15.59,NYQ,28.965,1388489472,23.69,#N/A,0.55,#N/A,#N/A,#N/A,25.3997,YES
FDS,Financial Data & Stock Exchanges,Financial Services,33.67,25.18,0.88,458.55,-2.07,-1.19,NYQ,468.23,17824403456,30.02,#N/A,-0.05,S&P 500,#N/A,#N/A,439.58704,YES
FDUS,Asset Management,Financial Services,6.02,9.34,12.77,21,6.6,19.37,NMS,19.7,653275648,11.95,#N/A,1.62,#N/A,#N/A,#N/A,19.67795,YES
FDX,Integrated Freight & Logistics,Industrials,16.54,11.77,2.01,306.67,14.52,16.53,NYQ,267.79,65479790592,27.93,XLI,0.63,S&P 500,#N/A,#N/A,267.76535,YES
FE,Utilities - Regulated Electric,Utilities,28.08,15.16,3.89,46.54,6.22,10.11,NYQ,43.815,25234020352,20.03,XLU,0.59,S&P 500,#N/A,#N/A,39.7489,YES
FELE,Specialty Industrial Machinery,Industrials,25.79,22.44,0.96,106.75,2.95,3.91,NMS,103.695,4735979008,36.98,#N/A,0.11,#N/A,#N/A,#N/A,99.91365,YES
FENC,Biotechnology,Healthcare,66.36,27.32,0,15.5,233.69,233.69,NCM,4.645,130885880,94.38,#N/A,2.75,#N/A,#N/A,#N/A,7.738025,NO
FFBC,Banks - Regional,Financial Services,10.34,10.33,3.69,28,11.46,15.15,NMS,25.12,2400412416,30.97,#N/A,0.43,#N/A,#N/A,#N/A,23.3,YES
FFIC,Banks - Regional,Financial Services,17.56,13.53,5.75,15.69,6.37,12.12,NMS,14.75,429202304,61.45,#N/A,0.2,#N/A,#N/A,#N/A,13.4924,YES
FFIN,Banks - Regional,Financial Services,25.5,22.55,1.88,37.9,2.42,4.3,NMS,37.005,5282630144,41.56,#N/A,0.1,#N/A,#N/A,#N/A,32.35795,YES
FFIV,Software - Infrastructure,Technology,23.45,15.36,0,203.01,-6.81,-6.81,NMS,217.835,12696382464,24.08,#N/A,-0.21,S&P 500,#N/A,#N/A,186.9755,YES
FHI,Asset Management,Financial Services,13.27,9.61,3.2,37.17,-4.4,-1.2,NYQ,38.88,3210439424,27.44,#N/A,-0.05,#N/A,#N/A,#N/A,34.4878,YES
FHN,Banks - Regional,Financial Services,14.15,10.98,3.44,19.1,11.53,14.97,NYQ,17.125,9110500352,28.12,#N/A,0.42,#N/A,#N/A,#N/A,15.214,YES
FI,Information Technology Services,Technology,34.32,19.43,0,193.84,-1.59,-1.59,NYQ,196.98,1.13441E+11,21.96,XLF,-0.06,S&P 500,#N/A,#N/A,156.8099,YES
FIBK,Banks - Regional,Financial Services,12.83,12.52,5.83,32.86,4.98,10.81,NMS,31.3,3272352256,29.96,#N/A,0.36,#N/A,#N/A,#N/A,28.0482,YES
FICO,Software - Application,Technology,104.44,66.53,0,1935.51,-2.28,-2.28,NYQ,1980.63,48525914112,32.72,XLK,-0.08,S&P 500,#N/A,#N/A,1464.2738,YES
FIS,Information Technology Services,Technology,89.65,16.05,1.76,86.53,-4.46,-2.7,NYQ,90.565,49390092288,19.86,XLF,-0.09,S&P 500,#N/A,#N/A,73.8994,YES
FISI,Banks - Regional,Financial Services,7.85,7.9,4.58,27.75,10.12,14.7,NMS,25.2,389904480,33.82,#N/A,0.43,#N/A,#N/A,#N/A,20.8146,YES
FITB,Banks - Regional,Financial Services,14.46,12.05,3.31,45.24,4.32,7.63,NMS,43.365,29326405632,25.66,XLF,0.26,S&P 500,#N/A,#N/A,37.82405,YES
FIVE,Specialty Retail,Consumer Cyclical,18.12,18.82,0,106.96,16.52,16.52,NMS,91.795,5049174528,68.67,#N/A,0.31,#N/A,#N/A,#N/A,133.7026,NO
FIX,Engineering & Construction,Industrials,35.45,26.77,0.29,358.25,-15.12,-14.83,NYQ,422.085,15032104960,45.05,#N/A,-0.28,#N/A,#N/A,#N/A,310.0187,YES
FIZZ,Beverages - Non-Alcoholic,Consumer Defensive,23.33,22.31,0,45,-2.11,-2.11,NMS,45.97,4302398464,33.67,#N/A,-0.07,#N/A,#N/A,#N/A,47.5054,NO
