Ticker,3/31/14,6/30/14,9/30/14,12/31/14,3/31/15,6/30/15,9/30/15,12/31/15,3/31/16,6/30/16,9/30/16,12/31/16,3/31/17,6/30/17,9/30/17,12/31/17,3/31/18,6/30/18,9/30/18,12/31/18,3/31/19,6/30/19,9/30/19,12/31/19,3/31/20,6/30/20,9/30/20,12/31/20,3/31/21,6/30/21,9/30/21,12/31/21,3/31/22,6/30/22,9/30/22,12/31/22,3/31/23,6/30/23,9/30/23,12/31/23,3/31/24,6/30/24,9/30/24,12/31/24,3/31/25,6/30/25
BRKR,15.28,6.49,-23.71,5.97,-5.86,10.5,-19.5,47.72,15.37,-18.79,-0.4,-6.49,10.15,23.62,3.16,15.36,-12.82,-2.94,15.19,-11,29.12,29.94,-12.05,16.03,-29.64,13.44,-2.29,36.18,18.75,18.2,2.79,7.44,-23.37,-2.4,-15.46,28.82,15.35,-6.24,-15.72,17.95,27.84,-13.68,0.65,15.4,14.8,23.89
BRN,0.03,4.28,-16.69,2.06,-10.86,-0.42,-21.52,1.08,-9.52,-8.88,6.45,-0.61,17.07,-5.73,-0.55,15.56,-9.86,12,-15.24,-25.28,11.28,-23.65,-53.81,97.32,-39.81,45,-5.12,48.89,102.36,28.75,-8.43,-3.96,-11.68,-8.56,12.34,11.97,-25.58,15.91,3.33,-7.78,-2.88,-7.84,3.55,5.87,11.54,14.43
BRO,-2.01,-0.16,4.69,2.36,0.61,-0.76,-5.75,3.65,11.53,4.66,0.64,18.96,-7,3.24,11.89,6.79,-1.13,9,6.64,-6.8,7.08,13.52,7.64,9.48,-8.26,12.53,11.06,4.73,-3.59,16.25,4.35,26.74,2.83,-19.27,3.67,-5.8,0.79,19.89,1.45,1.82,23.11,29.88,24.34,20.98,14.23,14.06
BRT,0.85,3.51,1.63,-6.93,2.29,-1.54,0.85,-10.58,9.62,2.88,11.89,2.37,1.47,-5.42,36.39,9.98,-0.34,8.51,-5.57,-4.98,21.33,1.8,3.18,16.39,-39.6,5.56,8.87,29.03,10.79,2.97,11.19,24.43,-0.08,-10.35,-5.49,-3.3,0.41,0.41,-12.78,7.64,-9.63,-11.77,-2.26,3.32,10.65,15.05
BSET,-5.01,-9.41,11.72,29.29,31.17,10.31,2.15,9.63,-4.69,-7.57,-11.9,19.88,-8.97,7.43,19.38,13.48,-13.03,-17.33,-14.74,-15.54,-1.33,-26.55,-17.09,24.96,-35.15,-35.16,98.13,30.68,27.52,43.35,-27.01,-24.06,2.68,-3.54,15.57,-3.12,1.13,-26.71,12.54,7.08,-5.77,8.77,21.64,21.53,21.38,20.19
BSRR,-1.06,-0.75,6.08,4.77,-4.9,3.65,-7.8,10.59,2.83,-8.04,12.4,41.74,3.16,-10.5,10.59,-2.17,0.3,6.01,2.34,-16.85,1.12,11.6,-2.06,9.64,-39.63,7.39,-11.07,42.47,12.04,-5.04,-4.6,11.82,-7.99,-13.01,-9.11,7.54,-18.93,-1.45,11.73,18.93,-10.42,31.88,24.44,21.56,17.67,11.2
BSX,12.48,-5.55,-7.52,12.19,33.96,-0.28,-7.29,12.37,2.01,24.24,1.84,-9.12,14.98,11.46,5.23,-15.02,10.21,19.69,17.74,-8.21,8.6,11.99,-5.33,11.13,-27.84,7.6,8.83,-5.91,7.51,10.63,1.47,-2.1,4.26,-15.85,3.92,19.47,8.13,8.12,-2.38,9.49,18.47,42.37,33.44,29.46,23.24,18.39
BTE,5.03,12.21,-17.96,-56.13,-4.88,-1.39,-79.46,1.25,22.53,45.84,-26.6,14.82,-29.92,-28.95,23.87,-0.33,-8.67,21.53,-12.61,-39.52,-3.98,-8.88,-3.9,-2.03,-83.86,115.38,-29.96,52.97,90.74,88.35,40.72,13.19,41.1,11.7,-13.24,6.75,-16.85,-13.07,35.28,-24.72,9.34,6.75,4.24,5.97,2.25,14.15
BTG,33.17,8.55,-30.48,-20.2,-6.17,0.66,-31.37,-2.86,62.75,51.2,4.78,-9.89,19.41,-0.71,-0.36,10.71,-11.94,-5.49,-10.85,26.96,-3.77,7.83,6.6,24.15,-23.69,85.95,14.59,-14.11,-23.04,-2.32,-18.76,14.91,16.79,-26.14,-5.01,10.87,10.36,-9.39,-19.05,9.34,-17.41,-24.37,-12.07,-5.33,1.87,8.62
BUSE,0,0.17,-4.13,16.88,2.76,-1.79,0.81,3.82,-0.73,4.44,5.66,36.19,-4.48,-0.27,6.96,-4.53,-0.73,6.73,-2.11,-20.97,-0.57,8.24,-4.28,8.78,-37.78,9,-14.8,35.62,19.03,-3.86,-0.12,10.11,-6.56,-9.83,-3.81,12.47,-17.72,-1.18,-4.38,29.14,-3.1,20.45,18.05,14.76,8.52,4.84
BWA,9.94,6.05,-19.3,4.45,10.06,-6.02,-26.83,3.94,-11.17,-23.13,19.17,12.11,5.96,1.36,20.94,-0.27,-1.68,-14.08,-0.88,-18.79,10.56,9.29,-12.63,18.27,-43.82,44.85,9.75,-0.26,19.98,4.7,-10.98,4.3,-13.69,-14.22,-5.9,28.18,22.01,-0.41,-17.46,-11.2,-3.1,-34.08,-23.91,-6.99,8.09,21.35
BWEN,29.45,-28.23,-14.6,-28.04,-7.24,-15.2,-51.18,0.48,44.71,40.2,4.27,-8.07,105.93,-39.5,-35.71,-16.05,-19.12,7.27,-7.63,-40.37,29.23,32.14,-23.87,-1.78,-15.66,167.86,-23.47,176.31,-16.77,-31.36,-42.83,-27.41,15.43,-24.42,84.15,-40.73,114.53,-0.52,-16.23,-13.44,-14.08,-14.14,7.1,16.01,25.72,24.73
BWFG,5.26,-22.73,11.59,10.7,-8.29,-7.45,2.55,8.59,-1.41,12.72,7.39,37.19,5.82,-9.19,18.28,-7.04,-6,-0.4,-2.46,-8.45,1.64,-1.64,-4.18,4.87,-47.09,4.19,-11.01,38.16,37.85,2.56,5.54,12.58,3.01,-8.22,-6.25,1.1,-15.53,-1.93,-0.45,24.35,-14.05,4.06,14.8,12.17,12.49,12.59
BWXT,-2.9,-2.23,-14.7,9.43,5.91,2.21,-19.63,20.52,5.63,6.59,7.27,3.47,19.9,2.42,14.91,7.98,5.03,-1.9,0.35,-38.87,29.69,5.08,9.81,8.51,-21.54,16.28,-0.58,7.05,9.39,-11.86,-7.33,-11.1,12.49,2.28,-8.57,15.31,8.54,13.53,4.76,2.33,33.74,32.74,22.14,16.16,0.16,2.3
BX,5.56,0.57,-5.86,7.47,14.96,5.09,-22.51,-7.67,-4.07,-12.51,4.03,5.88,9.88,12.29,0.06,-4.05,-0.22,0.69,18.37,-21.72,17.31,27.02,9.95,14.54,-18.54,24.34,-7.87,24.16,15,30.34,19.77,11.22,-1.89,-28.13,-8.25,-11.36,18.4,5.84,15.24,22.2,0.34,33.16,26.8,24.91,14.08,14.86
BXC,-28.87,-8.7,3.17,-12.31,-3.51,-9.29,-20.83,-32.91,16.98,13.23,26.5,-15.88,21.82,20.22,-5.58,-5.52,233.91,15.16,-16.09,-19.63,5.25,-25.64,60.58,-58.66,-57.72,34.89,152.53,54.49,38.14,15.07,7.37,91.75,-25.16,-3.32,-10.38,14.51,-4.43,37.99,-12.47,38.03,14.94,-0.74,-27.08,0.52,-1,-0.04
BXMT,5.97,0.87,-6.55,7.53,-2.64,-1.94,-1.37,-2.48,0.37,3.02,6.43,2.11,2.96,2.07,-1.84,3.74,-2.36,0.03,6.62,-4.92,8.47,2.95,0.76,3.82,-49.97,29.38,-8.8,25.31,12.6,2.87,-4.92,0.99,3.82,-12.96,-15.65,-9.3,-15.68,16.58,4.52,-2.21,-6.39,-16.29,-7.76,-0.15,-0.55,-0.46
BXP,14.11,3.19,-2.05,11.17,9.16,-13.84,-2.18,7.72,-0.36,3.79,3.33,-7.71,5.27,-7.09,-0.11,5.82,-5.24,1.79,-1.86,-8.56,18.95,-3.65,0.51,6.32,-33.1,-2.01,-11.15,17.72,7.12,13.16,-5.45,6.3,11.82,-30.92,-15.75,-9.86,-19.92,6.41,3.28,17.97,-6.93,14.20,21.06,13.36,4.49,0.9
BYD,17.23,-8.11,-16.24,25.79,11.11,5.28,9.03,21.9,3.98,-10.94,7.5,1.97,9.12,12.72,5,34.55,-9.1,8.79,-2.34,-38.61,31.67,-1.54,-11.1,25.01,-51.84,44.94,46.84,39.85,37.37,4.29,2.88,3.65,0.32,-24.37,-4.22,14.44,17.59,8.19,-12.31,2.93,7.52,-20.57,-0.79,8.63,20.89,37.56
BYFC,20.51,25,14.29,-18.13,-4.58,12,-13.57,24.79,27.78,-6.19,-2.76,-7.1,10.7,16.69,9.84,1.72,-10.59,4.27,-35.91,-25.53,33.33,1.43,8.45,0,-14.94,61.07,-20.38,10.12,34.59,8.03,23.42,-30.42,-31.17,-33.33,6.6,-10.62,3.96,-7.62,1.02,-13.42,-18.82,-33.76,-24.56,-14.58,-6.95,-4.37
BYON,-36.02,-19.95,6.91,43.95,-0.21,-6.94,-23.87,-28.44,17.1,12.03,-4.9,14.23,-1.71,-5.23,82.21,115.15,-43.27,-7.17,-17.68,-50.97,22.39,-18.17,-22.13,-33.43,-29.22,469.74,155.54,-33.97,38.13,39.15,-15.49,-24.27,-25.43,-43.17,-2.64,-20.49,4.7,60.68,-51.43,75.03,29.69,-59.84,-10.55,-16.13,7.11,34.18
BYRN,-29.03,9.09,25,6.67,6.25,14.71,-7.69,-30.56,-8,13.04,-23.08,0,-30,0,0,0,7.14,13.33,-11.76,3.33,-9.68,0,0,0,35.71,126.32,267.44,-10.76,6.03,60.54,22,-49.73,-32,-19.48,10.79,-3.02,-4.5,-43.53,-26.12,69.57,104.62,150.32,143.96,128.85,102.66,79.74
BZH,-17.77,4.48,-20.02,15.38,-8.47,12.58,-33.18,-13.8,-24.11,-11.12,50.45,14.07,-8.8,13.11,36.59,2.51,-16.97,-7.52,-28.81,-9.71,21.41,-16.51,55.05,-5.17,-54.42,56.37,31.08,14.77,38.09,-7.79,-10.58,34.61,-34.45,-20.7,-19.88,31.95,24.45,78.15,-11.95,35.65,-2.93,-2.86,-31.81,-37.13,-35.18,-9.97
C,-8.65,-1.05,10.02,4.42,-4.79,7.22,-10.19,4.31,-19.32,1.53,11.42,25.83,0.66,11.8,8.76,2.3,-7.2,-3.08,7.2,-27.43,19.52,12.55,-1.36,15.65,-47.28,21.32,-15.64,43.03,17.99,-2.75,-0.81,-13.95,-11.57,-13.88,-9.39,8.54,3.67,-1.81,-10.66,25.07,22.94,37.84,26.45,14.22,-0.82,-10.54
CAAS,-0.38,10,5.64,-22.77,2.68,15.66,-36.46,-14.39,1.31,-30.39,28.48,29.16,-6.9,-3.01,7.44,-7.69,-2.29,-7.89,-18.29,-30.88,31.97,-25.78,-14.64,54.41,-44.76,66.09,2.42,110.81,-24.04,4.01,-33.87,-17.79,13.81,-11.48,47.41,45.73,-9.83,-5.93,-20.93,-16.97,9.91,-27.85,-17.99,5.13,22.87,30.71
CAC,-1.52,-5.92,-9.7,13.83,0,-2.86,4.39,9.13,-4.74,0,13.67,39.66,-0.92,-2.57,1.7,-3.46,5.63,2.72,-4.97,-17.2,15.99,9.95,-5.56,6.33,-31.72,9.83,-12.49,18.38,33.76,-0.21,0.29,0.54,-2.33,-6.36,-3.29,-2.14,-13.19,-14.42,-8.88,33.35,-10.92,6.55,14.05,14.37,17.59,12.27
CACC,9.35,-13.4,2.41,8.2,42.95,26.25,-20.03,8.71,-15.17,1.94,8.64,8.18,-8.32,28.95,8.96,15.46,2.14,6.96,23.96,-12.85,18.38,7.06,-4.65,-4.11,-42.19,63.87,-19.18,2.21,4.07,26.06,28.89,17.49,-19.97,-13.98,-7.48,8.31,-8.09,16.49,-9.41,15.78,3.53,1.33,18.94,30.83,31.59,44.3
CACI,0.79,-4.86,1.51,20.92,4.34,-10.04,-8.55,25.43,15,-15.27,11.6,23.19,-5.63,6.61,11.44,-5.02,14.36,11.36,9.26,-21.79,26.38,12.4,13.04,8.1,-15.54,2.71,-1.72,16.97,-1.07,3.43,2.74,2.71,11.91,-6.47,-7.35,15.14,-1.43,15.04,-7.9,3.16,16.97,26.20,26.37,22.94,16.9,15.34
CAG,-12.79,10.91,0.76,11.49,-2.79,11.85,8.08,-0.19,1.03,7.63,1.66,-18.09,9.15,-5.17,-15.09,7,2.31,3.11,-1.5,-9.93,-29.56,23.31,-3.12,2.86,2.99,17.57,9.69,-5.82,-5.59,12.29,-13.25,-4.39,11.87,-6.22,5.31,6.33,-1.59,-4.63,-13.83,-5.1,-0.67,-13.09,-0.62,11.68,17.99,17.67
CAH,4.74,-2.03,9.28,7.75,11.82,-7.33,-8.16,16.21,-8.2,-4.81,-0.4,-7.37,13.31,-4.45,-14.12,-8.44,2.3,-22.1,10.59,-17.41,7.96,-2.18,0.19,7.18,-5.22,8.87,-10.04,14.08,13.42,-6.02,-13.36,4.1,10.12,-7.81,27.57,15.28,-1.78,25.26,-8.19,16.1,11.01,3.97,6.36,3.25,-9.43,-4.73
CAKE,1.1,-4,-2.88,11.1,-2.41,10.55,-1.66,-12.68,13.11,-11.18,9.33,15.53,6.83,-21.23,-15.44,16.6,-1.85,16.26,-7.48,-16.42,10.78,-10.87,-3.58,-6.18,-56.05,34.19,18.02,36.71,61.25,-12.04,-7.23,-18.5,0.86,-30.05,4.29,10.86,6.62,2.49,-19.12,20.18,7.48,7.02,-8.83,-12.12,-7.89,-1.14
CALM,-4.33,32.7,13.4,5.88,-10.15,50.65,-11.36,11.38,-6.31,-12.78,-3.63,-8.46,-5.95,1.58,-7.52,38.99,-12.21,7.59,5.66,-5.52,-5.2,-16.41,9.51,7.38,-19.85,27.72,-7.72,-4.55,-2.93,-8.37,3.64,2.02,19.64,9.06,13.87,5.49,0.93,-18.55,0.29,3.27,13.28,29.67,51.89,57.26,58.38,56.06
CALX,-13.9,-2.29,14.18,8.21,-18.26,-2.44,-7.88,6.93,-16.77,2.9,3.26,10.63,-5.84,-5.52,-26.28,17.82,15.13,13.87,3.85,20.37,-21.03,-14.81,-1.68,24.03,-16.63,106,26.78,70.84,24.06,26.14,8.03,58.95,-47.71,-16.4,74.89,11.92,-21.69,-6.87,-8.15,-4.69,-24.1,-29.01,-13.68,4.41,22.47,36.5
CAMT,-8.89,-13.55,23.2,-23.41,5.98,-13.79,-6.18,-15.89,-8.76,6.06,43.33,9.3,15.81,26.77,6,11.72,18.01,8.89,16.6,-21,31.76,-5.27,11.01,15.46,-22.25,49.41,22.26,42.46,36.47,26.12,7.43,13.65,-33.84,-18.38,-6.8,-5.22,29.1,25.68,74.74,11.44,20.74,251.50,191.43,125.03,50.56,-3.27
CAPL,-5.77,-0.3,26.42,18.6,-19.24,-13.12,-19.28,13.58,-6.13,0.78,3.55,-0.79,3.93,-2.6,6.86,-12.84,-13.43,-17.9,7.23,-21.77,28.95,-12.1,6.29,5.8,-55.35,67,10.48,15.47,8.21,2.58,4.35,-4.17,14.43,-7.15,-7.7,6.1,8.37,-8.33,10.1,5.12,-0.04,0.76,-4.49,-4.93,-4.2,-2.7
CAPR,161.54,-48.24,-12.5,-2.6,129.87,-41.42,-19.8,-24.11,-17.36,55.51,-17.91,-17.97,27.07,-75.45,265.1,-47.85,-13.92,-1.47,-21.64,-60.95,13.73,-28.8,11.45,-65.41,-6.25,283.33,14.13,-34.67,36.44,9.62,-21.64,-27.11,17.06,1.75,71.92,-35.67,9.33,13.27,-28.45,42.98,38.85,-0.21,7.45,-3.08,-25.32,-14.02
CAR,20.48,22.57,-8.04,20.84,-11.03,-25.31,-0.91,-16.92,-24.61,17.8,6.14,7.22,-19.36,-7.81,39.57,15.29,6.75,-30.61,-1.11,-30.06,55.07,0.86,-19.62,14.08,-56.89,64.68,14.98,41.72,94.48,7.38,49.58,77.98,26.97,-44.14,0.94,10.42,18.83,17.39,-21.42,-1.35,-30.92,-54.29,9.38,56.51,65.6,66.65
CARV,81.97,-19.42,-11.12,-31.39,-25.76,18.97,20.47,-43.61,39.2,-28.74,37.63,-37.03,13.52,-7.1,-32.65,26.99,-3.03,64.18,-6.91,-30.86,25.17,-19.57,1.33,-20.03,-22.25,228.57,3.86,0.62,39.91,12.78,73.83,-52.02,-18.03,-17.71,-30.56,2.75,-2.92,-33.08,-18.73,-9.22,-22.34,-47.23,-24.17,-5.03,16.84,28.59
CASH,11.21,-10.82,-11.85,-0.62,13.38,8.03,-2.68,9.96,-0.72,11.76,18.93,69.78,-13.99,0.57,-11.91,18.18,17.86,-10.8,-15.14,-29.62,1.5,42.53,16.26,11.96,-40.51,-16.34,5.78,90.22,23.93,11.74,3.65,13.68,-7.95,-29.59,-14.77,30.61,-3.62,11.74,-0.58,14.84,-4.63,22.02,20.64,20.39,19.83,19.89
CASS,-23.44,-4.03,-16.33,28.62,5.43,0.14,-12.61,4.74,1.73,-1.24,9.57,29.87,-10.15,-0.7,-3.35,0.93,2.23,15.64,-5.38,-2.48,-10.62,2.49,11.37,6.95,-39.11,11.01,3.1,-3.31,18.92,-11.93,2.7,-6.05,-6.13,-8.43,2.63,32.08,-5.48,-10.46,-3.95,20.94,6.93,3.33,-4.22,0.68,0.16,3.27
CASY,-0.01,-3.63,23.73,11.52,-9.99,24.38,3.92,13.67,-7.24,19.23,-15.39,1.69,-2.46,-4.75,7.33,5.71,-20.24,13.23,15.3,2.04,2.85,22.33,5.5,-5.83,-5.87,5.14,5.89,11.22,18.51,-11.02,-3.12,-1.95,7.18,0.67,14.83,1.38,-3.01,10.42,7.62,-0.2,17.77,53.50,33.04,26.48,16.17,6.38
CAT,9.43,9.36,-8.87,-7.57,-12.56,5.99,-22.94,3.98,12.63,-0.95,17.1,4.47,0.02,15.85,16.05,26.36,-6.47,-7.95,12.4,-16.67,6.63,0.59,-7.32,16.92,-21.42,9.01,17.91,22.04,27.39,-6.14,-11.79,7.69,7.78,-19.77,-8.21,46,-4.47,7.52,10.95,8.3,23.93,35.38,12.96,13.89,2.65,1.73
CATO,2.29,7.87,15.62,18.87,-6.2,-3.42,-1.69,6.81,-9.27,-2.24,-17.05,-12.77,-12.83,-24.29,-24.12,-11.96,42.86,53.19,-20.06,-26.2,4.07,-10.5,29.23,-9.53,-29.05,-36.82,-14.88,85.78,17.85,23.13,6.85,-8.39,-16.1,-8.86,-3.56,-15.03,-18.48,1.33,-16.63,-1.29,-28.05,-39.23,-34.81,-47.3,-77.46,-99.44
CATX,340,41.82,-45.83,-13.61,7.53,-5.73,-5.41,-33.04,-4,-3.33,-17.24,-19.44,1.72,5.93,-17.36,-22.69,5.33,6.99,15.29,-42.17,21.67,12.33,-21.78,94.7,-15.12,4.81,4.93,-22.8,142.22,-26.8,-20.93,-38.53,-6.4,-14.88,-25.6,7.48,158.2,4.7,-59.03,46.88,196.02,49.25,244.91,163.47,21.41,45.7
CATY,-5.76,1.47,-2.86,3.06,11.18,14.06,-7.67,4.57,-9.58,-0.46,9.15,23.55,-0.92,0.72,5.93,4.9,-5.19,1.28,2.35,-19.09,1.13,5.9,-3.27,9.54,-39.68,14.6,-17.57,48.48,26.69,-3.48,5.16,3.87,4.09,-12.51,-1.76,6.06,-15.37,-6.75,7.98,28.22,-15.12,17.18,18.29,15.84,14.77,10.12
CB,-4.32,4.68,1.13,9.55,-2.95,-8.8,1.69,13.01,1.97,9.7,-3.87,5.15,3.13,6.7,-1.95,2.51,-6.41,-7.13,5.21,-3.34,8.44,5.15,9.61,-3.58,-28.25,13.37,-8.29,32.55,2.63,0.61,9.15,11.43,10.65,-8.1,-7.48,21.29,-11.98,-0.83,8.11,8.56,14.66,32.47,19.94,16.66,8,5.15
CBAN,0.49,2.94,6.18,17.61,2.79,5.68,3.97,7.08,-3.57,3.48,4,33.47,4.92,-1.08,0.36,6.18,16.44,-0.59,5.33,-17.98,17.12,-0.88,-9.44,7.49,-24.24,-5.84,-8.67,36.28,6.48,14.49,4.26,-8.32,9.37,-19.18,-13.65,-2.61,-19.62,-7.65,6.1,33.07,-13.53,30.04,32.83,31.52,28.06,22.84
CBAT,35.14,-21.67,27.23,-38.13,90.27,-7.95,-28.7,21.65,-16.73,11.11,-13.46,-37.47,-4.41,0.37,11.11,-1.67,-8.47,-31.85,-26.09,-44.12,172.37,-9.47,-35.65,90.71,-64.35,85.37,165.79,150.5,0.79,-7.65,-50.53,-33.05,-17.95,-16.41,7.48,-13.91,-11.11,38.64,-32.87,28.21,-0.95,12.30,8.03,-24.88,-52.17,-31.09
CBFV,0,0,1.27,-0.5,-0.7,0.71,6.28,8.37,-13.74,7.74,9.86,10.47,9.48,-8.3,11.98,3.24,3.5,10.79,-10.32,-19.68,-4.24,0.08,16.88,8.57,-35.93,13,-12.56,4.87,10.59,0.09,5.87,2.64,-0.29,-4.75,-4.81,-1.52,1.31,-4.65,3.38,11.26,-9.2,9.47,4.25,3.1,4.82,2.45
CBOE,8.93,-13.06,8.77,18.49,-9.48,-0.32,17.23,-3.25,0.66,1.97,-2.66,13.94,9.72,12.74,17.76,15.76,-8.42,-8.79,-7.79,1.95,-2.44,8.58,10.88,4.43,-25.73,4.66,-5.94,5.79,6.32,20.65,4.02,5.28,-12.25,-1.07,3.69,6.9,6.99,2.81,13.19,14.31,2.9,23.22,20.76,22.54,23.36,24.11
CBRE,4.3,16.81,-7.18,15.16,13.02,-4.42,-13.51,8.06,-16.66,-8.12,5.66,12.54,10.48,4.63,4.07,14.33,9.03,1.1,-7.62,-9.21,23.5,3.74,3.33,15.62,-38.47,19.92,3.87,33.53,26.13,8.37,13.57,11.45,-15.66,-19.57,-8.29,14,-5.39,10.85,-8.49,26.04,4.46,10.41,19.32,20.5,19.72,19.36
CBRL,-2.11,-0.27,19.34,16.61,-0.51,13.49,-9.5,-4.53,11.57,7.51,-13.17,16.07,0.97,-2.95,0.89,12.83,-7.01,-11.54,11.31,3.09,0.92,2.18,-9.47,-1.92,-38.71,17.86,3.03,18.88,23.77,-18.68,-2.21,-12.5,-4.75,-14.34,20.83,-4.45,-3.28,-11.69,-31.07,18.62,-22.61,-24.74,-9.42,0.88,8.78,10.46
CBSH,3.36,0.17,-3.99,2.28,-2.69,10.51,-2.59,-1.96,5.67,6.56,2.84,23.22,-2.85,1.19,1.65,1.49,7.29,8.01,2.02,-14.62,3,2.76,1.66,12.02,-25.89,18.11,-5.35,16.72,16.61,-2.68,-6.55,-1.35,4.15,-8.3,0.78,8.03,-14.28,-16.54,-1.48,11.32,-0.39,14.54,14.8,15.69,13.51,8.86
CBT,14.9,-1.81,-12.45,-13.61,2.6,-17.13,-15.37,29.53,18.22,-5.52,14.78,-3.57,18.54,-10.82,4.44,10.38,-9.53,10.86,1.54,-31.54,-3.05,14.6,-5.01,4.85,-45.03,41.85,-2.75,24.56,16.84,8.56,-11.96,12.13,21.73,-6.75,0.16,4.62,14.66,-12.72,3.56,20.54,10.42,37.37,30.65,19.76,14.06,9.04
CBU,-1.66,-7.23,-7.21,13.52,-7.19,6.73,-1.59,7.45,-4.33,7.54,17.08,28.43,-11.02,1.44,-0.93,-2.71,-0.35,10.29,3.39,-4.54,2.52,10.16,-6.3,14.99,-17.11,-3.03,-4.49,14.41,23.13,-1.39,-9.56,8.86,-5.81,-9.79,-5.06,4.78,-16.62,-10.69,-9.96,23.45,-7.83,0.70,16.15,14.85,17.54,17.17
CBZ,0.44,-1.42,-12.85,8.77,9,4.29,0.92,0.41,2.33,3.17,7.49,22.43,-1.09,10.7,8.33,-4.92,18.12,26.03,3.04,-16.88,2.74,-3.21,19.96,14.72,-22.4,14.58,-4.59,16.35,22.74,0.34,-1.31,20.96,7.29,-4.79,7.06,9.51,5.64,7.66,-2.59,20.6,25.42,39.08,27.07,23.66,13.52,8.99
CCBG,12.83,9.41,-6.81,14.77,4.57,-6.03,-2.29,2.88,-4.95,-4.59,6.11,38.66,4.44,-4.53,17.58,-4.46,7.89,-4.53,-1.23,-0.56,-6.16,14.1,10.46,11.11,,,-10.31,30.81,5.86,-0.88,-4.07,6.71,-0.15,5.8,11.55,4.47,-9.82,4.54,-2.64,-1.34,-5.88,-7.18,-1.61,2.68,4.03,5.54
CCEL,23.24,7.46,20.41,-5.76,-11.87,-3.67,43.64,-2.65,13.64,-20,31.67,7.59,2.59,28.67,20.32,19.41,-11.17,4.75,12.4,-13.17,-10.52,17.56,-2.21,0.27,-5.17,3.35,13.11,-10.39,33.33,-13.5,34.1,6.72,-34.33,-24.6,20.23,-40.71,-12.59,26.96,23.61,-10.76,-2.8,69.48,71.78,59.74,49.67,32.48
CCI,0.48,0.65,8.44,-2.27,4.88,-2.71,-1.78,9.61,0.06,17.26,-7.12,-7.9,8.85,6.07,-0.2,11.03,-1.26,-1.63,3.26,-2.43,17.83,1.84,6.64,2.26,1.58,15.89,-0.51,-4.39,8.13,13.34,-11.16,20.44,-11.56,-8.79,-14.15,-6.16,-1.33,-14.87,-19.23,25.17,-8.13,-14.25,3.59,15.6,23.15,26.52
CCK,0.38,11.22,-10.53,14.33,6.13,-2.05,-13.53,10.82,-2.19,2.18,12.67,-7.92,0.72,12.67,0.1,-5.81,-9.78,-11.8,7.24,-13.4,31.27,11.97,8.12,9.81,-19.99,12.22,18.01,30.37,-3.15,5.33,-1.4,9.76,13.08,-26.32,-12.09,1.46,0.61,5.03,1.85,4.08,-13.93,-14.37,-2.61,2.95,9.81,20.12
CCL,9.83,0.93,-5.37,16.58,-0.38,5.32,6.26,2.64,-5.09,-0.46,0.13,7.55,8.83,14.51,8.44,-5.53,1.93,-6.92,-1.27,-1.95,-4.2,-11.37,-13.89,2.27,-25.78,-52.96,4.7,21.24,33.88,10.5,-18.34,-27.01,15.38,-31.73,-31.84,4.97,6.95,5.74,40.87,-4.8,5.31,34.28,11.64,-7.57,-26.63,-34.63
CCNE,-6.95,-4.98,-6.55,17.83,-8,8.11,-1.25,-0.77,-2.44,1.19,18.88,26.37,-10.66,0.33,13.98,-3.95,10.86,3.33,-3.99,-20.48,10.11,11.75,1.63,13.87,-42.26,-4.98,-17.07,43.17,15.59,-7.27,6.66,8.87,-0.68,-8.09,-2.56,0.93,-19.29,-8.07,2.61,24.74,-9.74,15.64,13.73,14.12,14.61,8.95
CCO,-10.16,-10.21,-17.6,57.12,-4.44,0.1,-29.62,-21.6,-15.92,32.34,-6.11,-13.53,19.8,-19.83,-4.12,-1.08,6.52,-12.24,38.37,-12.77,3.08,-11.78,-46.61,13.49,-77.62,62.5,-3.85,65,9.09,46.67,2.65,22.14,4.53,-69.08,28.04,-23.36,14.29,14.17,15.33,15.19,-9.34,2.92,-19.48,-41.79,-44.34,-45.59
CCOI,-12.08,-2.76,-2.72,5.3,-0.17,-4.22,-19.74,27.72,12.51,2.64,-8.11,12.33,4.11,-6.85,21.95,-7.36,-4.19,23.04,4.49,-18.98,20,9.42,-7.18,19.44,24.56,-5.62,-22.38,-0.3,14.85,11.82,-7.87,3.3,-9.33,-8.43,-14.15,9.43,11.63,5.6,-8.01,22.88,-14.11,-16.12,77.36,66.59,32.82,29.45
CCRD,3.7,-18.45,0,17.52,78.88,3.12,-2.36,11.38,6.35,8.3,-1.59,15.82,6.06,-22.17,9.17,19.34,12.06,69.67,21.91,22.23,147.21,-9.86,44.29,-3.85,-14.9,0.26,14.38,2.9,1.99,-23.1,29.08,-4.46,-29.38,-10.91,-10.82,33.07,4,-15.83,-21.14,-30.85,-20.1,-42.47,-41.86,-17,3.08,15.44
CCRN,-19.14,-19.21,42.48,34.34,-4.97,6.91,7.33,20.43,-29.04,19.69,-15.37,32.51,-8.01,-10.1,10.22,-10.33,-12.93,1.26,-22.4,-16.04,-4.09,33.43,9.81,12.82,-42,-8.61,5.36,36.67,40.81,32.19,28.65,30.7,-21.94,-3.88,36.2,-6.34,-16,25.81,-11.72,-8.67,-17.31,-50.71,-38.82,-20.81,-6.92,6.26
