Ticker,Name,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Percent From Target,Total Return,Exchange,Last Price,Market Cap. (USD),IV,ETF,Sharpe Ratio,S&P 500,DJIA,Nasdaq 100,200 Day MAV,Price Above 200 MAV
CTBI,"Community Trust Bancorp, Inc.",Banks—Regional,Financial Services,11.81,11.09,3.77,55,7.80,11.57,NMS,51.02,"921,018,176",31.99,,0.36,,,,43.32955,YES
CTLP,"Cantaloupe, Inc.",Information Technology Services,Technology,43.17,14.08,0.00,10.3,59.07,59.07,NMS,6.475,"472,585,632",49.43,,1.20,,,,6.6964,NO
CTLT,"Catalent, Inc.",Drug Manufacturers—Specialty & Generic,Healthcare,0.00,32.69,0.00,60.75,0.99,0.99,NYQ,60.155,"10,915,966,976",70.19,,0.01,S&P 500,,,54.75925,YES
CTO,"CTO Realty Growth, Inc.",REIT—Diversified,Real Estate,39.49,-101.84,7.87,21.14,9.25,17.12,NYQ,19.35,"447,375,872",34.53,,0.50,,,,17.63485,YES
CTRA,Coterra Energy Inc.,Oil & Gas E&P,Energy,13.65,9.08,3.62,31.78,34.58,38.20,NYQ,23.615,"17,457,954,816",28.52,XLE,1.34,S&P 500,,,26.0367,NO
CTRN,"Citi Trends, Inc.",Apparel Retail,Consumer Cyclical,0.00,-20.35,0.00,23,27.00,27.00,NMS,18.11,"156,023,808",69.45,,0.39,,,,23.32525,NO
CTS,CTS Corporation,Electronic Components,Technology,27.00,20.11,0.34,43,-10.54,-10.20,NYQ,48.065,"1,459,498,496",32.98,,-0.31,,,,46.73,YES
CTSH,Cognizant Technology Solutions Corporation,Information Technology Services,Technology,17.20,15.16,1.59,80.51,6.61,8.20,NMS,75.515,"37,429,612,544",22.94,XLK,0.36,S&P 500,,Nasdaq 100,72.78585,YES
CTSO,Cytosorbents Corporation,Medical Devices,Healthcare,0.00,-8.19,0.00,4.5,223.07,223.07,NCM,1.3929,"75,814,992",109.17,,2.04,,,,1.01307,YES
CTVA,"Corteva, Inc.",Agricultural Inputs,Basic Materials,46.63,17.70,1.18,63.14,7.45,8.63,NYQ,58.76,"40,683,356,160",27.7,XLB,0.31,S&P 500,,,52.88275,YES
CUBE,CubeSmart,REIT—Industrial,Real Estate,30.18,30.19,3.78,51.92,-3.35,0.43,NYQ,53.72,"12,165,326,848",20.95,,0.02,,,,45.25745,YES
CUBI,"Customers Bancorp, Inc.",Banks—Regional,Financial Services,6.70,6.70,0.00,68.8,38.12,38.12,NYQ,49.81,"1,578,857,472",86.72,,0.44,,,,51.059,NO
CUTR,"Cutera, Inc.",Medical Devices,Healthcare,0.00,-0.25,0.00,1.5,94.68,94.68,NMS,0.7705,"15,607,248",219.75,,0.43,,,,1.99665,NO
CUZ,Cousins Properties Incorporated,REIT—Office,Real Estate,75.56,140.33,4.39,29.11,-1.22,3.17,NYQ,29.47,"4,484,302,336",23.72,,0.13,,,,24.1362,YES
CVBF,CVB Financial Corp.,Banks—Regional,Financial Services,12.59,12.76,4.41,20.57,11.16,15.57,NMS,18.505,"2,584,834,048",41.59,,0.37,,,,17.6503,YES
CVCO,"Cavco Industries, Inc.",Residential Construction,Consumer Cyclical,25.70,19.56,0.00,432.33,-2.01,-2.01,NMS,441.21,"3,641,425,152",40.65,,-0.05,,,,364.30115,YES
CVE,Cenovus Energy Inc.,Oil & Gas Integrated,Energy,9.27,8.62,2.80,24.54,43.06,45.86,NYQ,17.154,"31,891,857,408",35.48,,1.29,,,,18.49455,NO
CVGI,"Commercial Vehicle Group, Inc.",Auto Parts,Consumer Cyclical,3.64,3.53,0.00,8.67,153.14,153.14,NMS,3.425,"118,168,664",106.25,,1.44,,,,5.6107,NO
CVGW,"Calavo Growers, Inc.",Food Distribution,Consumer Defensive,0.00,17.02,2.77,33.33,14.50,17.27,NMS,29.11,"518,204,576",38.11,,0.45,,,,26.25645,YES
CVI,"CVR Energy, Inc.",Oil & Gas Refining & Marketing,Energy,4.48,14.52,8.36,23.25,-4.67,3.69,NYQ,24.39,"2,451,951,104",43.55,,0.08,,,,29.78965,NO
CVLG,"Covenant Logistics Group, Inc.",Trucking,Industrials,17.69,10.52,0.84,70.33,31.63,32.47,NYQ,53.43,"703,721,216",31.99,,1.02,,,,48.11035,YES
CVLT,"Commvault Systems, Inc.",Software—Application,Technology,39.30,40.12,0.00,160.4,4.93,4.93,NMS,152.8599,"6,682,010,624",38.75,,0.13,,,,108.1498,YES
CVM,CEL-SCI Corporation,Biotechnology,Healthcare,0.00,-2.53,0.00,7.73,593.27,593.27,ASE,1.115,"68,564,920",155.14,,3.82,,,,1.7721,NO
CVS,CVS Health Corporation,Healthcare Plans,Healthcare,10.42,8.00,4.55,63.95,9.20,13.75,NYQ,58.5637,"73,651,585,024",32.95,XLV,0.42,S&P 500,,,66.82235,NO
CVX,Chevron Corporation,Oil & Gas Integrated,Energy,14.44,11.54,4.53,172.74,18.35,22.88,NYQ,145.96,"264,917,188,608",22.44,XLE,1.02,S&P 500,DJIA,,152.80824,NO
CW,Curtiss-Wright Corporation,Aerospace & Defense,Industrials,31.07,27.48,0.27,299,-5.56,-5.29,NYQ,316.6,"12,125,558,784",30.74,,-0.17,,,,258.6499,YES
CWBC,Community West Bancshares,Banks—Regional,Financial Services,23.87,9.48,2.33,23.75,14.35,16.68,NCM,20.77,"393,396,256",30.48,,0.55,,,,18.96115,YES
CWCO,Consolidated Water Co. Ltd.,Utilities—Regulated Water,Utilities,13.82,17.99,1.68,38,44.71,46.39,NMS,26.26,"415,813,984",49.98,,0.93,,,,28.71525,NO
CWST,"Casella Waste Systems, Inc.",Waste Management,Industrials,299.79,90.20,0.00,114.78,12.61,12.61,NMS,101.93,"5,925,588,480",23.81,,0.53,,,,95.3839,YES
CWT,California Water Service Group,Utilities—Regulated Water,Utilities,17.86,22.91,2.06,59,8.67,10.73,NYQ,54.295,"3,193,908,736",23.36,,0.46,,,,49.6916,YES
CXDO,"Crexendo, Inc.",Telecom Services,Communication Services,47.30,18.92,0.41,6.5,37.42,37.83,NCM,4.73,"126,361,480",89.46,,0.42,,,,4.503275,YES
CXT,"Crane NXT, Co.",Specialty Industrial Machinery,Industrials,18.91,12.43,1.10,93.5,57.01,58.11,NYQ,59.55,"3,402,508,288",34.41,,1.69,,,,58.92355,YES
CXW,"CoreCivic, Inc.",Security & Protection Services,Industrials,21.33,27.23,0.00,16.09,25.70,25.70,NYQ,12.8,"1,411,468,800",60.32,,0.43,,,,14.2275,NO
CYH,"Community Health Systems, Inc.",Medical Care Facilities,Healthcare,0.00,20.52,0.00,5.18,-9.83,-9.83,NYQ,5.745,"798,233,280",77.98,,-0.13,,,,3.7096,YES
CYRX,"Cryoport, Inc.",Integrated Freight & Logistics,Industrials,0.00,-8.72,0.00,12.56,44.04,44.04,NCM,8.72,"430,875,264",69.5,,0.63,,,,12.9212,NO
CYTK,"Cytokinetics, Incorporated",Biotechnology,Healthcare,0.00,-11.31,0.00,80.65,45.47,45.47,NMS,55.44,"6,528,953,344",80.4,,0.57,,,,62.70175,NO
CZNC,Citizens & Northern Corporation,Banks—Regional,Financial Services,13.36,11.21,5.61,20,-0.89,4.72,NCM,20.18,"310,618,624",50.97,,0.09,,,,18.97575,YES
CZR,"Caesars Entertainment, Inc.",Resorts & Casinos,Consumer Cyclical,0.00,30.57,0.00,52.13,26.32,26.32,NMS,41.2672,"8,928,269,312",45.55,XLY,0.58,S&P 500,,,39.9973,YES
D,"Dominion Energy, Inc.",Utilities—Regulated Electric,Utilities,23.96,16.91,4.65,56.59,-1.58,3.07,NYQ,57.5,"48,238,936,064",21.95,XLU,0.14,S&P 500,,,50.22185,YES
DAC,Danaos Corporation,Marine Shipping,Industrials,2.78,3.55,3.99,92,12.68,16.67,NYQ,81.65,"1,579,568,256",26.66,,0.63,,,,79.20335,YES
DAIO,Data I/O Corporation,Electronic Components,Technology,0.00,41.33,0.00,5.25,111.69,111.69,NCM,2.48,"22,904,462",70.83,,1.58,,,,2.99885,NO
DAKT,"Daktronics, Inc.",Electronic Components,Technology,59.03,10.60,0.00,16.75,35.11,35.11,NMS,12.3973,"578,314,176",56.3,,0.62,,,,10.6993,YES
DAL,"Delta Air Lines, Inc.",Airlines,Industrials,6.78,6.45,1.28,60.3,27.66,28.94,NYQ,47.235,"30,486,368,256",38.51,XLI,0.75,S&P 500,,,44.31225,YES
DAN,Dana Incorporated,Auto Parts,Consumer Cyclical,0.00,6.83,3.94,13.33,26.77,30.71,NYQ,10.515,"1,524,433,152",36.2,,0.85,,,,12.58865,NO
DAR,Darling Ingredients Inc.,Packaged Foods,Consumer Defensive,16.16,10.40,0.00,58.29,57.50,57.50,NYQ,37.01,"5,885,477,888",45.45,,1.27,,,,41.90785,NO
DASH,"DoorDash, Inc.",Internet Content & Information,Communication Services,0.00,83.47,0.00,144,4.55,4.55,NMS,137.73,"56,681,537,536",38.85,,0.12,,,Nasdaq 100,117.015625,YES
DAY,Dayforce Inc,Software—Application,Technology,198.83,28.54,0.00,70.73,18.58,18.58,NYQ,59.65,"9,430,665,216",42.81,,0.43,S&P 500,,,60.8523,NO
DBI,Designer Brands Inc.,Footwear & Accessories,Consumer Cyclical,0.00,8.69,3.21,5.75,-11.81,-8.60,NYQ,6.52,"361,856,736",57.65,,-0.15,,,,8.59015,NO
DCI,"Donaldson Company, Inc.",Specialty Industrial Machinery,Industrials,21.62,18.31,1.51,76.4,4.55,6.06,NYQ,73.075,"8,798,595,072",24.83,,0.24,,,,70.45635,YES
DCO,Ducommun Incorporated,Aerospace & Defense,Industrials,43.20,16.44,0.00,72.8,10.15,10.15,NYQ,66.09,"974,708,480",29.69,,0.34,,,,55.39895,YES
DCOM,"Dime Community Bancshares, Inc.",Banks—Regional,Financial Services,19.34,11.14,3.50,29.6,-1.24,2.26,NMS,29.973,"1,173,400,960",54.38,,0.04,,,,21.49755,YES
DD,"DuPont de Nemours, Inc.",Specialty Chemicals,Basic Materials,106.83,19.20,1.83,95.71,14.84,16.67,NYQ,83.34,"34,789,859,328",24.37,XLB,0.68,S&P 500,,,76.0261,YES
DDOG,"Datadog, Inc.",Software—Application,Technology,240.61,59.23,0.00,146.57,26.91,26.91,NMS,115.4925,"38,938,525,696",39.77,,0.68,,,Nasdaq 100,121.17047,NO
DE,Deere & Company,Farm & Heavy Construction Machinery,Industrials,13.97,17.97,1.47,416.17,1.64,3.11,NYQ,409.465,"112,029,622,272",23.6,XLI,0.13,S&P 500,,,382.0432,YES
DECK,Deckers Outdoor Corporation,Footwear & Accessories,Consumer Cyclical,29.44,25.39,0.00,180.23,17.71,17.71,NYQ,153.11,"23,348,185,088",40.47,XLY,0.44,S&P 500,,,144.93654,YES
DEI,"Douglas Emmett, Inc.",REIT—Office,Real Estate,0.00,-66.96,4.47,14.75,-15.28,-10.81,NYQ,17.41,"3,452,281,088",32.06,,-0.34,,,,14.16,YES
DENN,Denny's Corporation,Restaurants,Consumer Cyclical,19.63,10.58,0.00,9.86,43.52,43.52,NCM,6.87,"352,939,360",49.47,,0.88,,,,8.30275,NO
DFS,Discover Financial Services,Credit Services,Financial Services,12.63,11.08,2.06,148.55,3.90,5.96,NYQ,142.98,"35,885,719,552",41.66,XLF,0.14,S&P 500,,,122.2645,YES
DG,Dollar General Corporation,Discount Stores,Consumer Defensive,13.46,13.57,2.72,103.61,19.68,22.40,NYQ,86.5699,"19,038,019,584",34.21,XLP,0.65,S&P 500,,,132.1107,NO
DGICA,Donegal Group Inc.,Insurance—Property & Casualty,Financial Services,66.07,13.46,4.52,14.25,-6.22,-1.70,NMS,15.195,"498,892,864",23.89,,-0.07,,,,13.9519,YES
DGII,Digi International Inc.,Communication Equipment,Technology,59.41,12.95,0.00,34,24.41,24.41,NMS,27.33,"995,227,392",39.58,,0.62,,,,26.8106,YES
DGX,Quest Diagnostics Incorporated,Diagnostics & Research,Healthcare,20.91,16.13,1.93,155.05,-0.06,1.87,NYQ,155.15,"17,270,831,104",23.94,XLV,0.08,S&P 500,,,138.00945,YES
DHC,Diversified Healthcare Trust,REIT—Healthcare Facilities,Real Estate,0.00,-5.15,1.07,4,3.49,4.56,NMS,3.865,"929,822,400",64.84,,0.07,,,,2.9032,YES
DHI,"D.R. Horton, Inc.",Residential Construction,Consumer Cyclical,13.15,12.24,0.62,188.09,-3.78,-3.16,NYQ,195.48,"63,695,007,744",37.14,XLY,-0.09,S&P 500,,,154.9905,YES
DHR,Danaher Corporation,Diagnostics & Research,Healthcare,50.97,31.98,0.40,285.34,2.93,3.33,NYQ,277.22,"200,247,984,128",25,XLV,0.13,S&P 500,,,250.31676,YES
DHT,"DHT Holdings, Inc.",Oil & Gas Midstream,Energy,11.51,6.06,9.63,14.41,27.75,37.38,NYQ,11.28,"1,821,313,920",29.39,,1.27,,,,11.1338,YES
DHX,"DHI Group, Inc.",Software—Application,Technology,28.33,17.00,0.00,4.81,182.94,182.94,NYQ,1.7,"82,286,632",154.38,,1.19,,,,2.2816,NO
DIN,"Dine Brands Global, Inc.",Restaurants,Consumer Cyclical,5.23,5.08,6.79,44.43,42.66,49.45,NYQ,31.145,"476,487,360",41.68,,1.19,,,,41.21285,NO
DINO,HF Sinclair Corporation,Oil & Gas Refining & Marketing,Energy,7.55,9.92,4.26,56.45,19.32,23.58,NYQ,47.309,"9,027,360,768",36.71,,0.64,,,,54.00015,NO
DIOD,Diodes Incorporated,Semiconductors,Technology,29.25,19.01,0.00,74.67,22.74,22.74,NMS,60.8357,"2,815,803,136",45.15,,0.50,,,,71.05725,NO
DIS,The Walt Disney Company,Entertainment,Communication Services,35.84,18.03,0.96,111.22,18.89,19.85,NYQ,93.55,"169,661,349,888",26.94,XLC,0.74,S&P 500,DJIA,,100.62775,NO
DK,"Delek US Holdings, Inc.",Oil & Gas Refining & Marketing,Energy,0.00,-185.00,5.09,23.45,15.23,20.32,NYQ,20.35,"1,313,360,512",40.47,,0.50,,,,25.613,NO
DKL,"Delek Logistics Partners, LP",Oil & Gas Refining & Marketing,Energy,15.12,10.84,9.94,45.33,3.00,12.94,NYQ,44.01,"2,069,790,208",22.91,,0.56,,,,41.70535,YES
DKS,"DICK'S Sporting Goods, Inc.",Specialty Retail,Consumer Cyclical,15.82,14.49,2.07,239.06,10.85,12.92,NYQ,215.655,"17,557,057,536",32.82,,0.39,,,,191.80185,YES
DLB,"Dolby Laboratories, Inc.",Specialty Business Services,Industrials,33.27,18.99,1.65,99,36.49,38.14,NYQ,72.535,"6,916,038,656",25.98,,1.47,,,,80.1148,NO
DLHC,DLH Holdings Corp.,Specialty Business Services,Industrials,58.74,15.36,0.00,15,50.23,50.23,NCM,9.985,"141,616,256",54.67,,0.92,,,,12.6982,NO
DLR,"Digital Realty Trust, Inc.",REIT—Specialty,Real Estate,45.31,114.08,3.08,156.52,-1.30,1.78,NYQ,158.58,"52,945,424,384",26.5,XLRE,0.07,S&P 500,,,144.47556,YES
DLTR,"Dollar Tree, Inc.",Discount Stores,Consumer Defensive,0.00,12.20,0.00,85.19,14.84,14.84,NMS,74.18,"15,948,106,752",43.16,XLP,0.34,S&P 500,,Nasdaq 100,118.677,NO
DLX,Deluxe Corporation,Advertising Agencies,Communication Services,23.52,5.95,6.06,30,50.08,56.14,NYQ,19.99,"883,779,904",38.47,,1.46,,,,20.6754,NO
DMRC,Digimarc Corporation,Information Technology Services,Technology,0.00,-38.50,0.00,34,19.34,19.34,NMS,28.49,"610,272,896",61.61,,0.31,,,,30.4312,NO
DNN,Denison Mines Corp.,Uranium,Energy,31.30,-31.30,0.00,3.59,129.39,129.39,ASE,1.565,"1,396,559,104",62.9,,2.06,,,,1.9161,NO
DOC,"Healthpeak Properties, Inc.",REIT—Healthcare Facilities,Real Estate,45.89,73.42,5.42,23.7,7.60,13.02,NYQ,22.025,"15,398,404,096",20.74,XLRE,0.63,S&P 500,,,19.47865,YES
DORM,"Dorman Products, Inc.",Auto Parts,Consumer Cyclical,21.61,17.69,0.00,117.5,-0.42,-0.42,NMS,118,"3,607,531,520",40.97,,-0.01,,,,92.1609,YES
DOV,Dover Corporation,Specialty Industrial Machinery,Industrials,17.81,19.69,1.11,202.06,5.53,6.64,NYQ,191.475,"26,311,522,304",28.59,,0.23,S&P 500,,,171.08055,YES
DOW,Dow Inc.,Chemicals,Basic Materials,32.70,14.55,5.42,57.26,8.09,13.51,NYQ,52.975,"37,130,657,792",22.45,XLB,0.60,S&P 500,DJIA,,54.9392,NO
DOX,Amdocs Limited,Software—Infrastructure,Technology,20.01,12.37,2.22,98.98,13.69,15.91,NMS,87.06,"10,011,899,904",21.05,,0.76,,,,85.80205,YES
DPZ,"Domino's Pizza, Inc.",Restaurants,Consumer Cyclical,25.29,23.13,1.48,491.04,19.55,21.03,NYQ,410.75,"14,365,242,368",32.47,XLY,0.65,S&P 500,,,455.3496,NO
DQ,Daqo New Energy Corp.,Semiconductor Equipment & Materials,Technology,0.00,-31.52,0.00,21.98,24.53,24.53,NYQ,17.65,"1,160,663,936",69.26,,0.35,,,,20.3019,NO
DRH,DiamondRock Hospitality Company,REIT—Hotel & Motel,Real Estate,31.29,18.52,1.39,9.77,7.66,9.05,NYQ,9.075,"1,891,157,376",53.13,,0.17,,,,8.837,YES
DRI,"Darden Restaurants, Inc.",Restaurants,Consumer Cyclical,20.12,16.37,3.52,171.42,-0.13,3.39,NYQ,171.64,"20,333,160,448",24.43,XLY,0.14,S&P 500,,,156.47005,YES
DSGR,"Distribution Solutions Group, Inc.",Industrial Distribution,Industrials,0.00,22.47,0.00,42.5,10.59,10.59,NMS,38.43,"1,796,886,912",46.17,,0.23,,,,32.60635,YES
DSGX,The Descartes Systems Group Inc.,Software—Application,Technology,69.45,52.98,0.00,103.77,0.96,0.96,NMS,102.785,"8,798,622,720",27.28,,0.04,,,,92.4544,YES
DSX,Diana Shipping Inc.,Marine Shipping,Industrials,27.12,2.65,15.69,3.63,48.70,64.39,NYQ,2.4411,"305,515,840",49.55,,1.30,,,,2.86915,NO
DTE,DTE Energy Company,Utilities—Regulated Electric,Utilities,18.53,17.24,3.28,129.48,4.44,7.72,NYQ,123.97,"25,664,270,336",18.29,XLU,0.42,S&P 500,,,112.627,YES
DUK,Duke Energy Corporation,Utilities—Regulated Electric,Utilities,19.72,18.19,3.61,118.12,2.57,6.18,NYQ,115.155,"88,930,639,872",16.15,XLU,0.38,S&P 500,,,100.99285,YES
DVA,DaVita Inc.,Medical Care Facilities,Healthcare,17.31,14.38,0.00,155.86,-4.22,-4.22,NYQ,162.73,"13,653,046,272",31.68,,-0.13,S&P 500,,,131.32906,YES
DVAX,Dynavax Technologies Corporation,Drug Manufacturers—Specialty & Generic,Healthcare,88.23,31.01,0.00,24.5,113.51,113.51,NMS,11.475,"1,503,074,688",45,,2.52,,,,12.09765,NO
DVN,Devon Energy Corporation,Oil & Gas E&P,Energy,7.46,7.34,4.95,54.87,33.02,37.97,NYQ,41.25,"25,830,750,208",30.94,XLE,1.23,S&P 500,,,46.18745,NO
DX,"Dynex Capital, Inc.",REIT—Mortgage,Real Estate,434.17,13.86,12.17,13.75,5.53,17.70,NYQ,13.0299,"973,435,136",19.86,,0.89,,,,12.24175,YES
DXCM,"DexCom, Inc.",Medical Devices,Healthcare,44.65,35.77,0.00,97.25,35.28,35.28,NMS,71.89,"28,808,263,680",54.01,XLV,0.65,S&P 500,,Nasdaq 100,113.76715,NO
DXLG,"Destination XL Group, Inc.",Apparel Retail,Consumer Cyclical,11.32,12.86,0.00,3.25,14.84,14.84,NGM,2.83,"164,869,280",95.98,,0.15,,,,3.58935,NO
DY,"Dycom Industries, Inc.",Engineering & Construction,Industrials,24.08,20.78,0.00,209.11,7.79,7.79,NYQ,193.99,"5,645,904,384",36.45,,0.21,,,,147.7878,YES
EA,Electronic Arts Inc.,Electronic Gaming & Multimedia,Communication Services,33.20,16.92,0.54,159.24,12.58,13.12,NMS,141.44,"37,368,446,976",22.27,XLC,0.59,S&P 500,,Nasdaq 100,137.8825,YES
EAT,"Brinker International, Inc.",Restaurants,Consumer Cyclical,22.60,14.83,0.00,66.06,-14.03,-14.03,NYQ,76.84,"3,454,580,224",43.23,,-0.32,,,,55.3616,YES
EBAY,eBay Inc.,Internet Retail,Consumer Cyclical,12.29,12.22,1.71,57.82,-8.48,-6.77,NMS,63.18,"30,895,020,032",27.53,XLY,-0.25,S&P 500,,,50.38205,YES
EBF,"Ennis, Inc.",Business Equipment & Supplies,Industrials,15.16,0.00,4.16,26,7.17,11.33,NYQ,24.26,"630,371,840",24.35,,0.47,,,,21.3273,YES
EBS,Emergent BioSolutions Inc.,Drug Manufacturers—Specialty & Generic,Healthcare,0.00,-6.11,0.00,8,13.80,13.80,NYQ,7.03,"371,933,408",108,,0.13,,,,4.91655,YES
ECL,Ecolab Inc.,Specialty Chemicals,Basic Materials,42.21,33.55,0.92,256.82,2.07,2.99,NYQ,251.6,"71,589,756,928",18.06,XLB,0.17,S&P 500,,,225.11775,YES
ECPG,"Encore Capital Group, Inc.",Mortgage Finance,Financial Services,0.00,6.12,0.00,60.25,22.98,22.98,NMS,48.99,"1,160,622,080",34.92,,0.66,,,,46.726,YES
ED,"Consolidated Edison, Inc.",Utilities—Regulated Electric,Utilities,19.86,18.20,3.21,98,-4.18,-0.97,NYQ,102.275,"35,402,186,752",19.48,XLU,-0.05,S&P 500,,,93.1728,YES
EDAP,EDAP TMS S.A.,Medical Distribution,Healthcare,0.00,-5.90,0.00,11.37,270.36,270.36,NGM,3.07,"113,908,664",96.05,,2.81,,,,5.74325,NO
EDU,New Oriental Education & Technology Group Inc.,Education & Training Services,Consumer Defensive,34.52,13.51,0.00,95.95,54.41,54.41,NYQ,62.14,"10,284,915,712",46.69,,1.17,,,,78.43515,NO
EEFT,"Euronet Worldwide, Inc.",Software—Infrastructure,Technology,17.49,10.31,0.00,128.75,28.46,28.46,NMS,100.225,"4,501,535,744",40.85,,0.70,,,,104.3876,NO
EFC,Ellington Financial Inc.,REIT—Mortgage,Real Estate,11.00,8.17,11.86,13.5,1.39,13.25,NYQ,13.315,"1,157,472,896",36.06,,0.37,,,,12.276,YES
EFSC,Enterprise Financial Services Corp,Banks—Regional,Financial Services,11.67,11.70,2.08,58.75,10.39,12.47,NMS,53.22,"1,988,693,120",47.95,,0.26,,,,42.74235,YES
EFX,Equifax Inc.,Consulting Services,Industrials,65.09,31.93,0.52,306.54,0.84,1.36,NYQ,304,"37,613,268,992",34.39,XLI,0.04,S&P 500,,,254.9899,YES
EG,"Everest Group, Ltd.",Insurance—Reinsurance,Financial Services,5.75,5.68,2.06,434.5,11.17,13.23,NYQ,390.85,"16,913,447,936",26.23,,0.50,S&P 500,,,377.12045,YES
EGAN,eGain Corporation,Software—Application,Technology,20.40,0.00,0.00,9.5,86.28,86.28,NCM,5.0999,"145,406,304",53.13,,1.62,,,,6.69975,NO
EGBN,"Eagle Bancorp, Inc.",Banks—Regional,Financial Services,0.00,11.02,7.98,22,-7.17,0.81,NCM,23.7,"715,202,048",39.8,,0.02,,,,22.36835,YES
EGHT,"8x8, Inc.",Software—Application,Technology,0.00,4.51,0.00,3.57,88.39,88.39,NMS,1.895,"243,185,344",93.76,,0.94,,,,2.6726,NO
EGO,Eldorado Gold Corporation,Gold,Basic Materials,19.49,11.59,0.00,20.27,18.16,18.16,NYQ,17.155,"3,517,066,752",42.59,,0.43,,,,14.44335,YES
EGP,"EastGroup Properties, Inc.",REIT—Industrial,Real Estate,39.97,38.30,2.96,197.71,3.25,6.21,NYQ,191.48,"9,330,857,984",20.38,,0.30,,,,176.53635,YES
EGY,"VAALCO Energy, Inc.",Oil & Gas E&P,Energy,7.49,9.22,4.33,9.13,52.34,56.67,NYQ,5.9932,"621,752,512",40.86,,1.39,,,,5.6989,YES
EHC,Encompass Health Corporation,Medical Care Facilities,Healthcare,22.81,19.78,0.74,100.91,9.49,10.23,NYQ,92.165,"9,276,114,944",21.01,,0.49,,,,80.36215,YES
EHTH,"eHealth, Inc.",Insurance Brokers,Financial Services,0.00,-403.00,0.00,6.67,65.51,65.51,NMS,4.03,"118,503,768",81.72,,0.80,,,,5.68935,NO
EIX,Edison International,Utilities—Regulated Electric,Utilities,33.95,15.10,3.66,88.35,4.50,8.16,NYQ,84.545,"32,647,403,520",18.3,XLU,0.45,S&P 500,,,73.15755,YES
EL,The Estée Lauder Companies Inc.,Household & Personal Products,Consumer Defensive,81.49,21.31,3.00,107.08,21.67,24.67,NYQ,88.0099,"31,564,044,288",41.88,XLP,0.59,S&P 500,,,125.30725,NO
ELA,Envela Corporation,Luxury Goods,Consumer Cyclical,22.04,15.31,0.00,7.5,36.11,36.11,ASE,5.5101,"143,672,544",48.13,,0.75,,,,4.66125,YES
ELME,Elme Communities,REIT—Residential,Real Estate,0.00,-164.09,3.97,17.5,-3.05,0.92,NYQ,18.05,"1,588,591,232",25.8,,0.04,,,,15.19745,YES
ELS,"Equity LifeStyle Properties, Inc.",REIT—Residential,Real Estate,38.44,38.44,2.60,71.31,-3.37,-0.77,NYQ,73.8,"14,436,978,688",21.35,,-0.04,,,,66.91345,YES
ELV,"Elevance Health, Inc.",Healthcare Plans,Healthcare,18.86,12.91,1.21,602.6,11.97,13.18,NYQ,538.165,"124,792,922,112",26.03,XLV,0.51,S&P 500,,,515.39624,YES
EME,"EMCOR Group, Inc.",Engineering & Construction,Industrials,24.48,20.52,0.24,415,-2.86,-2.62,NYQ,427.21,"19,932,741,632",36.28,,-0.07,,,,323.13776,YES
EMKR,EMCORE Corporation,Electronic Components,Technology,0.00,-2.87,0.00,1,-8.26,-8.26,NCM,1.09,"9,882,616",90.36,,-0.09,,,,2.78505,NO
EMN,Eastman Chemical Company,Specialty Chemicals,Basic Materials,14.51,12.05,3.05,112.89,4.75,7.80,NYQ,107.77,"12,591,665,152",24.38,XLB,0.32,S&P 500,,,94.42135,YES
EMR,Emerson Electric Co.,Specialty Industrial Machinery,Industrials,35.81,17.73,2.03,126.73,19.95,21.98,NYQ,105.65,"60,431,802,368",23.78,XLI,0.92,S&P 500,,,105.6463,YES
EMX,EMX Royalty Corporation,Other Industrial Metals & Mining,Basic Materials,0.00,183.01,0.00,6.49,254.63,254.63,ASE,1.8301,"208,338,592",62.5,,4.07,,,,1.74525,YES
ENB,Enbridge Inc.,Oil & Gas Midstream,Energy,21.10,18.07,6.69,41.06,1.87,8.56,NYQ,40.305,"87,927,799,808",14.98,,0.57,,,,36.31925,YES
ENLC,"EnLink Midstream, LLC",Oil & Gas Midstream,Energy,48.18,17.85,3.67,15.4,6.54,10.21,NYQ,14.455,"6,670,245,376",22.34,,0.46,,,,13.0644,YES
ENOV,Enovis Corporation,Specialty Industrial Machinery,Industrials,0.00,14.65,0.00,69.11,52.16,52.16,NYQ,45.42,"2,536,729,600",40.73,,1.28,,,,52.42915,NO
ENPH,"Enphase Energy, Inc.",Solar,Technology,127.79,25.13,0.00,127.02,6.88,6.88,NGM,118.8475,"16,094,566,400",59.59,,0.12,S&P 500,,,115.39075,YES
ENS,EnerSys,Electrical Equipment & Parts,Industrials,15.51,10.50,0.95,118.14,15.27,16.22,NYQ,102.49,"4,124,689,408",32.48,,0.50,,,,97.47585,YES
ENSG,"The Ensign Group, Inc.",Medical Care Facilities,Healthcare,38.93,25.14,0.16,155.6,2.48,2.64,NMS,151.83,"8,671,572,992",26.19,,0.10,,,,124.8113,YES
ENTG,"Entegris, Inc.",Semiconductor Equipment & Materials,Technology,95.55,27.01,0.36,145.09,25.49,25.85,NMS,115.615,"17,455,321,088",45.92,,0.56,,,,125.35665,NO
ENV,"Envestnet, Inc.",Software—Application,Technology,0.00,19.75,0.00,64.63,3.23,3.23,NYQ,62.605,"3,458,594,304",57.06,,0.06,,,,57.7619,YES
